cuentaimputadaid,cuenta_padre,cuenta,cuentaanalisis,sucursal,centrocosto,debe,haber,deudor,acreedor,activo,pasivo,ingreso,gasto,tipocuentaid
40026746,1106 DEUDORES VARIOS,1106-66 EMPRESAS RELACIONADAS COSTA RICA,,,,0,0,0,0,0,0,0,0,1
40026800,1106 DEUDORES VARIOS,1106-67 FONDOS POR RENDIR,,,,0,0,0,0,0,0,0,0,1
40026825,1106 DEUDORES VARIOS,1106-68 MATERIA PRIMA PRODUCCION EXTERNA,,,,0,0,0,0,0,0,0,0,1
40026826,1106 DEUDORES VARIOS,1106-69 MATERIA PRIMA PRODUCCION PROPIA,,,,0,0,0,0,0,0,0,0,1
40026827,1106 DEUDORES VARIOS,1106-70 PRODUCTO EN PROCESO,,,,0,0,0,0,0,0,0,0,1
40026828,1106 DEUDORES VARIOS,1106-71 PRODUCTO TERMINADO PICADO,,,,0,0,0,0,0,0,0,0,1
40026829,1106 DEUDORES VARIOS,1106-72 PRODUCTO TERMINADO TROZADO,,,,0,0,0,0,0,0,0,0,1
40026830,1106 DEUDORES VARIOS,1106-73 PRODUCTO TERMINADO CUBO,,,,0,0,0,0,0,0,0,0,1
40026831,1106 DEUDORES VARIOS,1106-74 PRODUCTO TERMINADO ENTERO,,,,0,0,0,0,0,0,0,0,1
40026832,1106 DEUDORES VARIOS,1106-75 SEMILLAS,,,,2394000,0,2394000,0,2394000,0,0,0,1
40026868,1106 DEUDORES VARIOS,1106-76 EMPRESA RELACIONADA RADAL SPA,,,,0,0,0,0,0,0,0,0,1
40026869,1106 DEUDORES VARIOS,1106-77 EMPRESA RELACIONADA EL PLOMO,,,,0,0,0,0,0,0,0,0,1
40026886,1106 DEUDORES VARIOS,1106-78 CUENTA CORRIENTE COSTA RICA,,,,0,0,0,0,0,0,0,0,1
40026888,1106 DEUDORES VARIOS,1106-79 CUENTA X COBRAR JUST BURGER,,,,0,0,0,0,0,0,0,0,1
40026916,1106 DEUDORES VARIOS,1106-80 EMP RELACIONADA 4M TRANSPORTE,,,,0,0,0,0,0,0,0,0,1
40026918,1106 DEUDORES VARIOS,1106-81 PRESTAMO A EMPRESA SOCIEDAD EDUACACIONAL DEPORTIVA SPA,,,,0,0,0,0,0,0,0,0,1
40026920,1106 DEUDORES VARIOS,1106-82 EMPRESA RELACIONADA QUIZAPU SPA,,,,0,0,0,0,0,0,0,0,1
40026940,1106 DEUDORES VARIOS,1106-83 PRODUCCION PACKING,,,,0,0,0,0,0,0,0,0,1
40026952,1106 DEUDORES VARIOS,1106-84 EMPRESA RELACIONADA CALBUCO,,,,0,0,0,0,0,0,0,0,1
40026970,1106 DEUDORES VARIOS,1106-85 CTA.CTE.EERR,,,,0,0,0,0,0,0,0,0,1
40026971,1106 DEUDORES VARIOS,1106-86 CTA CTE JOSE OVALLE,,,,0,0,0,0,0,0,0,0,1
40026982,1106 DEUDORES VARIOS,1106-87 PRESTAMO AL PERSONAL,,,,0,0,0,0,0,0,0,0,1
40027000,1106 DEUDORES VARIOS,1106-88 CTA. CTE. VARIAS,,,,0,0,0,0,0,0,0,0,1
40027007,1106 DEUDORES VARIOS,1106-89 CUENTA POR COBRAR ESPAÑA,,,,0,0,0,0,0,0,0,0,1
40027030,1106 DEUDORES VARIOS,1106-90 INVERSION INVERSIONES GRUPO KUPSAN SpA,,,,0,0,0,0,0,0,0,0,1
40155082,1106 DEUDORES VARIOS,1106-91 EMPRESA RELACIONADA JM HOME GROUP,,,,0,0,0,0,0,0,0,0,1
40155083,1106 DEUDORES VARIOS,1106-92 EMPRESA RELACIONADA TRANSPORTES TOMAR,,,,0,0,0,0,0,0,0,0,1
40210955,1106 DEUDORES VARIOS,1106-93 INVERSION DESCORCHADOS P Y R,,,,0,0,0,0,0,0,0,0,1
40210956,1106 DEUDORES VARIOS,1106-94 INVERSION BAROLO SPA,,,,0,0,0,0,0,0,0,0,1
40210957,1106 DEUDORES VARIOS,1106-95 INVERSION SOLERA SPA,,,,0,0,0,0,0,0,0,0,1
40025650,1107 DEUDORES INCOBRABLES,1107 DEUDORES INCOBRABLES,,,,0,0,0,0,0,0,0,0,1
40025651,1107 DEUDORES INCOBRABLES,1107-01 DEUDORES INCOBRABLES,,,,0,0,0,0,0,0,0,0,1
40026833,1107 DEUDORES INCOBRABLES,1107-02 PLANTACION DE ZAPALLOS,,,,0,0,0,0,0,0,0,0,1
40026921,1107 DEUDORES INCOBRABLES,1107-03 INSUMOS PACKING,,,,25894224,0,25894224,0,25894224,0,0,0,1
40026945,1107 DEUDORES INCOBRABLES,1107-04 INSUMOS,,,,0,0,0,0,0,0,0,0,1
40025652,1108 IMPTOS. POR RECUPERAR,1108 IMPTOS. POR RECUPERAR,,,,0,0,0,0,0,0,0,0,1
40025653,1108 IMPTOS. POR RECUPERAR,1108-01 PAGOS PROVISIONALES,,,,0,0,0,0,0,0,0,0,1
