idcuenta,tipocuentaid,tipocuenta,cuentamayor,subcuenta,cuentaanalisis,periodo,saldoanterior,saldo,generado_en
40026296,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-43 ASESORIAS CONTABLES,,2026-05-01T00:00:00.000Z,0,752770,2026-09-24T11:09:23.394Z
40026296,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-43 ASESORIAS CONTABLES,,2026-06-01T00:00:00.000Z,0,757406,2026-09-24T11:09:23.394Z
40026296,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-43 ASESORIAS CONTABLES,,2026-07-01T00:00:00.000Z,0,758420,2026-09-24T11:09:23.394Z
40026296,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-43 ASESORIAS CONTABLES,,2026-08-01T00:00:00.000Z,0,758784,2026-09-24T11:09:23.394Z
40026297,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-44 ASESORIAS LEGALES,,2026-01-01T00:00:00.000Z,0,397110,2026-09-24T11:09:23.394Z
40026297,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-44 ASESORIAS LEGALES,,2026-03-01T00:00:00.000Z,0,796420,2026-09-24T11:09:23.394Z
40026297,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-44 ASESORIAS LEGALES,,2026-04-01T00:00:00.000Z,0,401200,2026-09-24T11:09:23.394Z
40026297,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-44 ASESORIAS LEGALES,,2026-06-01T00:00:00.000Z,0,814470,2026-09-24T11:09:23.394Z
40026297,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-44 ASESORIAS LEGALES,,2026-07-01T00:00:00.000Z,0,408440,2026-09-24T11:09:23.394Z
40026297,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-44 ASESORIAS LEGALES,,2026-08-01T00:00:00.000Z,0,408730,2026-09-24T11:09:23.394Z
40025809,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-01 REMUNERACIONES TRABAJADORES,,2026-01-01T00:00:00.000Z,0,7155096,2026-09-24T11:09:23.394Z
40025809,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-01 REMUNERACIONES TRABAJADORES,,2026-02-01T00:00:00.000Z,0,7681335,2026-09-24T11:09:23.394Z
40025809,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-01 REMUNERACIONES TRABAJADORES,,2026-03-01T00:00:00.000Z,0,7681398,2026-09-24T11:09:23.394Z
40025809,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-01 REMUNERACIONES TRABAJADORES,,2026-04-01T00:00:00.000Z,0,8280953,2026-09-24T11:09:23.394Z
40025809,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-01 REMUNERACIONES TRABAJADORES,,2026-05-01T00:00:00.000Z,0,8264653,2026-09-24T11:09:23.394Z
40025809,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-01 REMUNERACIONES TRABAJADORES,,2026-06-01T00:00:00.000Z,0,8212574,2026-09-24T11:09:23.394Z
40025809,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-01 REMUNERACIONES TRABAJADORES,,2026-07-01T00:00:00.000Z,0,9329100,2026-09-24T11:09:23.394Z
40025809,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-01 REMUNERACIONES TRABAJADORES,,2026-08-01T00:00:00.000Z,0,8295159,2026-09-24T11:09:23.394Z
40025810,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-02 HONORARIOS PROFESIONALES,,2026-01-01T00:00:00.000Z,0,298985,2026-09-24T11:09:23.394Z
40025810,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-02 HONORARIOS PROFESIONALES,,2026-02-01T00:00:00.000Z,0,147493,2026-09-24T11:09:23.394Z
40025810,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-02 HONORARIOS PROFESIONALES,,2026-03-01T00:00:00.000Z,0,935693,2026-09-24T11:09:23.394Z
40025810,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-02 HONORARIOS PROFESIONALES,,2026-04-01T00:00:00.000Z,0,8500,2026-09-24T11:09:23.394Z
40025810,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-02 HONORARIOS PROFESIONALES,,2026-05-01T00:00:00.000Z,0,4143009,2026-09-24T11:09:23.394Z
40025810,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-02 HONORARIOS PROFESIONALES,,2026-06-01T00:00:00.000Z,0,346903,2026-09-24T11:09:23.394Z
40025810,4,Total Pérdidas,4201 GASTOS DE ADMINISTRACION,4201-02 HONORARIOS PROFESIONALES,,2026-07-01T00:00:00.000Z,0,3815310,2026-09-24T11:09:23.394Z
